time,open,high,low,close,volume
2023-03-29 20:13:00,1806.47,1807.03,1806.32,1806.32,243.6035
2023-03-29 20:14:00,1806.32,1806.5,1805.52,1806.27,183.0612
2023-03-29 20:15:00,1806.27,1808.39,1806.26,1808.38,518.6976
2023-03-29 20:16:00,1808.38,1808.45,1807.19,1807.78,515.4661
2023-03-29 20:17:00,1807.77,1808.0,1807.63,1807.99,459.5572
2023-03-29 20:18:00,1808.0,1808.0,1807.71,1807.72,95.3269
2023-03-29 20:19:00,1807.72,1807.72,1806.43,1806.44,2087.9845
2023-03-29 20:20:00,1806.43,1807.56,1806.43,1807.46,165.0265
2023-03-29 20:21:00,1807.45,1807.46,1805.74,1805.74,143.842
2023-03-29 20:22:00,1805.74,1807.07,1805.35,1806.91,555.2155
2023-03-29 20:23:00,1806.91,1807.6,1806.54,1807.59,193.1864
2023-03-29 20:24:00,1807.59,1808.54,1807.15,1808.24,186.6811
2023-03-29 20:25:00,1808.24,1808.25,1807.85,1808.1,79.5117
2023-03-29 20:26:00,1808.09,1808.1,1807.63,1807.65,100.9164
2023-03-29 20:27:00,1807.66,1809.0,1807.08,1809.0,220.6926
2023-03-29 20:28:00,1808.99,1809.0,1808.26,1808.27,98.5909
2023-03-29 20:29:00,1808.26,1808.46,1808.07,1808.07,94.942
2023-03-29 20:30:00,1808.08,1809.34,1808.07,1809.32,110.1592
2023-03-29 20:31:00,1809.32,1809.33,1808.64,1809.19,71.1276
2023-03-29 20:32:00,1809.19,1809.6,1808.5,1808.5,196.9476
2023-03-29 20:33:00,1808.51,1809.0,1808.5,1809.0,86.1079
2023-03-29 20:34:00,1808.99,1809.0,1808.52,1808.52,101.9171
2023-03-29 20:35:00,1808.53,1808.53,1807.3,1807.3,152.284
2023-03-29 20:36:00,1807.31,1807.31,1806.95,1807.13,127.8101
2023-03-29 20:37:00,1807.12,1807.38,1806.9,1806.91,118.9332
2023-03-29 20:38:00,1806.91,1806.91,1806.42,1806.42,92.9864
2023-03-29 20:39:00,1806.43,1806.43,1804.93,1805.03,262.1697
2023-03-29 20:40:00,1805.03,1805.49,1804.77,1804.86,214.4163
2023-03-29 20:41:00,1804.86,1805.09,1804.52,1804.98,150.4598
2023-03-29 20:42:00,1804.97,1804.98,1803.1,1803.37,215.9098
2023-03-29 20:43:00,1803.37,1803.83,1803.37,1803.82,77.1107
2023-03-29 20:44:00,1803.83,1804.0,1803.16,1803.4,116.7118
2023-03-29 20:45:00,1803.39,1804.0,1802.53,1802.54,291.264
2023-03-29 20:46:00,1802.53,1802.89,1802.12,1802.13,110.533
2023-03-29 20:47:00,1802.13,1802.86,1802.12,1802.85,237.5275
2023-03-29 20:48:00,1802.86,1805.24,1802.85,1805.23,250.2525
2023-03-29 20:49:00,1805.24,1805.24,1803.76,1804.07,249.1379
2023-03-29 20:50:00,1804.08,1804.97,1804.07,1804.63,94.7763
2023-03-29 20:51:00,1804.63,1805.12,1804.63,1804.79,58.602
2023-03-29 20:52:00,1804.8,1805.02,1804.31,1804.32,150.5216
2023-03-29 20:53:00,1804.31,1804.81,1804.31,1804.8,69.9485
2023-03-29 20:54:00,1804.81,1804.81,1803.66,1804.17,247.396
2023-03-29 20:55:00,1804.17,1804.67,1803.77,1803.78,95.4895
2023-03-29 20:56:00,1803.77,1803.78,1802.9,1802.9,88.0839
2023-03-29 20:57:00,1802.91,1803.87,1802.7,1802.7,279.2084
2023-03-29 20:58:00,1802.7,1803.54,1802.7,1803.29,237.823
2023-03-29 20:59:00,1803.29,1803.48,1803.29,1803.47,53.065
2023-03-29 21:00:00,1803.48,1803.48,1803.05,1803.06,211.9164
2023-03-29 21:01:00,1803.05,1803.35,1802.3,1802.31,107.9437
2023-03-29 21:02:00,1802.3,1802.49,1802.24,1802.48,192.7753
2023-03-29 21:03:00,1802.48,1802.55,1801.72,1801.73,177.2044
2023-03-29 21:04:00,1801.73,1801.73,1799.93,1799.95,326.3375
2023-03-29 21:05:00,1799.95,1800.16,1798.88,1800.16,210.8536
2023-03-29 21:06:00,1800.16,1800.65,1799.68,1800.64,146.7763
2023-03-29 21:07:00,1800.64,1801.2,1800.55,1801.2,200.6191
2023-03-29 21:08:00,1801.2,1801.28,1800.45,1800.91,113.4452
2023-03-29 21:09:00,1800.92,1801.17,1800.58,1800.71,276.8834
2023-03-29 21:10:00,1800.7,1801.26,1800.7,1800.89,98.1852
2023-03-29 21:11:00,1800.89,1801.23,1800.71,1801.17,168.3517
2023-03-29 21:12:00,1801.18,1801.28,1800.96,1801.27,74.1926
2023-03-29 21:13:00,1801.27,1801.99,1801.27,1801.99,197.7901
2023-03-29 21:14:00,1801.99,1801.99,1801.67,1801.67,28.9031
2023-03-29 21:15:00,1801.68,1801.68,1800.95,1801.09,189.1035
2023-03-29 21:16:00,1801.1,1801.38,1800.82,1800.82,100.1383
2023-03-29 21:17:00,1800.91,1800.91,1800.72,1800.72,76.1354
2023-03-29 21:18:00,1800.72,1802.28,1800.72,1802.27,176.6484
2023-03-29 21:19:00,1802.28,1804.15,1802.27,1804.15,240.6278
2023-03-29 21:20:00,1804.14,1804.55,1803.89,1804.55,153.7386
2023-03-29 21:21:00,1804.54,1805.36,1804.54,1805.12,232.1122
2023-03-29 21:22:00,1805.12,1805.13,1804.33,1804.7,53.9831
2023-03-29 21:23:00,1804.7,1804.71,1804.33,1804.52,58.9092
2023-03-29 21:24:00,1804.51,1805.28,1804.51,1805.19,160.7494
2023-03-29 21:25:00,1805.2,1805.26,1804.86,1804.87,123.9079
2023-03-29 21:26:00,1804.87,1805.84,1804.86,1805.38,183.3719
2023-03-29 21:27:00,1805.38,1805.38,1804.54,1805.18,262.2047
2023-03-29 21:28:00,1805.19,1805.46,1805.0,1805.0,125.9285
2023-03-29 21:29:00,1805.0,1805.67,1804.82,1805.66,134.5064
2023-03-29 21:30:00,1805.66,1805.83,1804.73,1804.73,142.1909
2023-03-29 21:31:00,1804.73,1804.74,1804.42,1804.42,80.004
2023-03-29 21:32:00,1804.42,1804.43,1803.64,1803.64,66.658
2023-03-29 21:33:00,1803.64,1805.61,1803.64,1805.22,255.6512
2023-03-29 21:34:00,1805.21,1805.22,1804.52,1804.52,57.6664
2023-03-29 21:35:00,1804.52,1804.53,1803.02,1803.02,130.2029
2023-03-29 21:36:00,1803.03,1803.2,1802.42,1803.01,109.2518
2023-03-29 21:37:00,1803.01,1803.78,1803.0,1803.0,91.1278
2023-03-29 21:38:00,1803.01,1803.49,1803.0,1803.48,91.4262
2023-03-29 21:39:00,1803.48,1803.74,1802.73,1802.74,252.4175
2023-03-29 21:40:00,1802.73,1803.02,1802.52,1803.01,105.2732
2023-03-29 21:41:00,1803.01,1803.02,1802.58,1802.58,75.9538
2023-03-29 21:42:00,1802.58,1802.59,1801.81,1801.96,138.5493
2023-03-29 21:43:00,1801.97,1801.97,1801.66,1801.66,54.8323
2023-03-29 21:44:00,1801.66,1801.67,1800.0,1800.3,171.8068
2023-03-29 21:45:00,1800.3,1800.3,1799.5,1799.56,75.79
2023-03-29 21:46:00,1799.57,1799.92,1799.14,1799.15,113.9294
2023-03-29 21:47:00,1799.15,1799.15,1797.1,1797.97,221.6819
2023-03-29 21:48:00,1797.97,1798.18,1797.13,1797.36,197.3425
2023-03-29 21:49:00,1797.35,1799.04,1797.35,1799.04,139.8391
2023-03-29 21:50:00,1799.04,1800.2,1799.03,1800.2,85.3386
2023-03-29 21:51:00,1800.19,1800.2,1799.04,1799.04,209.3135
2023-03-29 21:52:00,1799.04,1800.2,1798.61,1800.2,167.0493
2023-03-29 21:53:00,1800.19,1800.63,1800.04,1800.5,184.7373
2023-03-29 21:54:00,1800.5,1800.88,1800.49,1800.87,60.6523
2023-03-29 21:55:00,1800.88,1801.07,1800.16,1800.17,171.921
2023-03-29 21:56:00,1800.16,1800.94,1800.11,1800.12,164.1709
2023-03-29 21:57:00,1800.12,1800.36,1800.11,1800.34,80.7431
2023-03-29 21:58:00,1800.34,1800.35,1798.11,1798.12,401.246
2023-03-29 21:59:00,1798.11,1798.12,1794.37,1794.61,573.6925
2023-03-29 22:00:00,1794.61,1796.3,1794.42,1795.54,660.5916
2023-03-29 22:01:00,1795.55,1796.12,1785.82,1789.45,3349.8423
2023-03-29 22:02:00,1789.45,1791.23,1786.69,1787.66,2326.2322
2023-03-29 22:03:00,1787.65,1788.73,1785.41,1787.86,1264.4286
2023-03-29 22:04:00,1787.85,1787.86,1782.71,1783.92,2296.7914
2023-03-29 22:05:00,1783.91,1785.42,1783.22,1784.57,687.8867
2023-03-29 22:06:00,1784.58,1785.9,1784.42,1785.44,558.0581
2023-03-29 22:07:00,1785.45,1787.5,1785.44,1787.49,696.0207
2023-03-29 22:08:00,1787.49,1787.86,1783.93,1784.31,1688.3275
2023-03-29 22:09:00,1784.31,1786.61,1784.06,1786.6,885.9083
2023-03-29 22:10:00,1786.6,1788.58,1785.86,1788.1,593.739
2023-03-29 22:11:00,1788.1,1788.1,1786.76,1787.32,413.653
2023-03-29 22:12:00,1787.33,1788.58,1787.32,1787.73,243.3498
2023-03-29 22:13:00,1787.73,1788.58,1787.6,1788.58,203.9766
2023-03-29 22:14:00,1788.58,1789.52,1788.09,1789.35,207.2444
2023-03-29 22:15:00,1789.35,1789.42,1786.99,1787.0,647.1512
2023-03-29 22:16:00,1786.99,1789.09,1786.99,1787.88,852.9018
2023-03-29 22:17:00,1787.89,1788.95,1787.88,1787.96,148.7225
2023-03-29 22:18:00,1787.96,1790.08,1787.95,1790.08,323.6028
2023-03-29 22:19:00,1790.08,1790.41,1788.95,1789.13,295.5887
2023-03-29 22:20:00,1789.13,1789.74,1789.12,1789.23,173.2923
2023-03-29 22:21:00,1789.22,1790.09,1789.22,1789.94,116.4885
2023-03-29 22:22:00,1789.95,1791.95,1789.94,1791.88,230.0374
2023-03-29 22:23:00,1791.87,1792.56,1791.6,1792.3,168.9676
